Incident ID,Date, Confirmed Time,Estimated Time,Governorate,District,Area,Target,Main category,Sub-category,Air Raids,Naval,Fatalities ,Woman,Child,Injured ,Woman,Child
157,30/03/2015,unkn,Afternoon,Shabwa,Bayhan,Outskirts of the city,Anti-Houthi Groups,Military_Security_Target,Forces,1,,0,0,0,0,0,0
158,30/03/2015,unkn,Early-Morning,Saada,Shada'a,Al-Mashnaq,Residential Area,Civilian,Residential Area,unkn,,8,0,0,0,0,0
159,30/03/2015,unkn,Afternoon,Saada,Sa'ada,The City,Local Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
160,30/03/2015,unkn,Afternoon,Saada,Sa'ada,Qahzah,Electricity Station,Economic_infrastructure,Water & Electricity,1,,0,0,0,0,0,0
161,30/03/2015,unkn,Afternoon,Saada,Kitaf Wa Al-Boqe'e,Marar,Unknown,Unknown,Unknown,1,,0,0,0,0,0,0
162,30/03/2015,20,Evening,Taiz,Mawyah,Awman Mountain,Air Defence Military Site (Missiles Battalion),Military_Security_Target,Military Site,4,,0,0,0,0,0,0
163,30/03/2015,20,Evening,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
164,30/03/2015,unkn,Evening,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,1,,0,0,0,0,0,0
165,30/03/2015,unkn,Evening,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Pro-Houthi forces,Military_Security_Target,Forces,unkn,,0,0,0,0,0,0
166,31/03/2015,1,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,2,,0,0,0,0,0,0
167,31/03/2015,1,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
168,31/03/2015,1,Early-Morning,Capital,Al-Thawrah,Al-Nahdhdah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
169,31/03/2015,1,Early-Morning,Capital,Al-Sab'ein,Al-Nahdain,3rd Armoured Presdintial Guards,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
170,31/03/2015,21,Evening,Capital,Al-Sab'ein,Noqom Mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
171,31/03/2015,21,Evening,Capital,Azal,Noqom Mountain,Weapons Storage,Military_Security_Target,Weapon storage,unkn,,0,0,0,0,0,0
172,31/03/2015,2,Early-Morning,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,3,,0,0,0,0,0,0
173,31/03/2015,19,Evening,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
174,31/03/2015,10,Midday,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,5,,10,0,0,10,0,0
